relative_time,AccX,AccY,AccZ
0,0.26345214843750003,0.16301101684570313,9.275611267089845
57,0.28695327758789063,0.33635055541992187,9.576934661865234
126,0.27812164306640624,0.2613565063476563,9.553433532714845
190,0.27737319946289063,0.2537223815917969,9.5034375
257,0.28695327758789063,0.2740800476074219,9.583221588134766
326,0.2839595031738281,0.2501298522949219,9.547296295166015
390,0.2755769348144531,0.2507286071777344,9.57573715209961
457,0.2999761962890625,0.2677931213378906,9.552535400390626
528,0.26240432739257813,0.2701881408691406,9.551038513183594
590,0.2908451843261719,0.25117767333984375,9.572593688964844
657,0.2963836669921875,0.27542724609375,9.592651977539063
728,0.2763253784179688,0.24878265380859377,9.626331939697266
791,0.30761032104492186,0.27078689575195314,9.592651977539063
857,0.27737319946289063,0.2616558837890625,9.613907775878907
927,0.2924917602539063,0.25641677856445316,9.610165557861329
990,0.2999761962890625,0.2644999694824219,9.622589721679688
1057,0.2698887634277344,0.26225463867187504,9.59729232788086
1129,0.2893482971191406,0.26150619506835937,9.611063690185548
1190,0.30027557373046876,0.26764343261718754,9.630223846435547
1257,0.27722351074218754,0.2682421875,9.620643768310547
1328,0.2836601257324219,0.25836273193359377,9.598190460205078
1390,0.2700384521484375,0.27617568969726564,9.618099060058594
1457,0.2977308654785156,0.267044677734375,9.602681121826173
1529,0.2760260009765625,0.26614654541015625,9.633067932128906
1590,0.26958938598632814,0.2710862731933594,9.616153106689454
1657,0.28231292724609375,0.2689906311035156,9.634265441894533
1726,0.27931915283203124,0.2591111755371094,9.642049255371095
1790,0.28021728515625,0.26120681762695314,9.654623107910156
1857,0.279019775390625,0.2650987243652344,9.62034439086914
1925,0.28380981445312503,0.2544708251953125,9.626481628417968
1990,0.25956024169921876,0.26659561157226563,9.652527465820313
2057,0.2944377136230469,0.2662962341308594,9.641450500488281
2126,0.2746788024902344,0.2613565063476563,9.634864196777345
2190,0.28096572875976566,0.26180557250976566,9.642198944091797
2257,0.2701881408691406,0.271834716796875,9.64324676513672
2328,0.295784912109375,0.269439697265625,9.63561264038086
2390,0.27198440551757813,0.26584716796875,9.667646026611328
2457,0.2770738220214844,0.2650987243652344,9.646539916992188
2537,0.2677931213378906,0.2655477905273438,9.640552368164062
2590,0.2775228881835938,0.2700384521484375,9.656569061279297
2657,0.2820135498046875,0.2734812927246094,9.64998275756836
2725,0.28650421142578125,0.26105712890625,9.642348632812501
2790,0.2644999694824219,0.26719436645507816,9.63800765991211
2857,0.29114456176757814,0.27273284912109375,9.645192718505859
2925,0.29234207153320313,0.2751278686523438,9.642947387695314
2990,0.26315277099609374,0.27378067016601565,9.619595947265626
3057,0.30416748046875003,0.2639012145996094,9.632469177246094
3124,0.27542724609375,0.26270370483398436,9.624236297607423
3190,0.28156448364257813,0.26734405517578125,9.658365325927734
3257,0.28530670166015626,0.264649658203125,9.664053497314454
3324,0.30790969848632815,0.30416748046875003,9.64429458618164
3390,0.24878265380859377,0.2281256103515625,9.673633575439453
3457,0.28635452270507816,0.2664459228515625,9.552535400390626
3524,0.2832110595703125,0.24459136962890626,9.579479370117188
3590,0.3028202819824219,0.26539810180664064,9.667646026611328
3657,0.2947370910644531,0.24264541625976563,9.623487854003907
3724,0.25926086425781253,0.26734405517578125,9.665700073242188
3790,0.27258316040039066,0.19100280761718752,9.65956283569336
3857,0.2508782958984375,0.2041754150390625,9.659413146972657
3924,0.26839187622070315,0.22109024047851564,9.61645248413086
3990,0.29683273315429687,0.21794677734375,9.618248748779298
4057,0.27303222656250004,0.27258316040039066,9.71419921875
4124,0.2704875183105469,0.19788848876953127,9.605076141357422
4190,0.29114456176757814,0.18950592041015626,9.557924194335937
4257,0.27916946411132815,0.21106109619140626,9.629774780273438
4323,0.24459136962890626,0.12768447875976563,9.60208236694336
4390,0.26420059204101565,0.2183958435058594,9.635762329101563
4457,0.27063720703125,0.13187576293945313,9.57813217163086
4527,0.2165995788574219,0.26958938598632814,9.664652252197266
4590,0.31180160522460937,0.28156448364257813,9.65956283569336
4657,0.5761518859863282,0.1285826110839844,9.605525207519532
4731,0.7324269104003907,0.4447251892089844,9.498946838378906
4790,0.978365478515625,0.5502557373046876,9.584119720458984
4856,0.8328680419921876,0.91250244140625,9.667945404052736
4925,0.7375163269042969,0.9092092895507813,9.513616333007812
4989,0.19609222412109376,0.7978408813476563,9.687554626464845
5056,0.44981460571289067,1.270408172607422,9.621841278076172
5127,0.2528242492675781,1.5934364318847658,9.555678863525392
5189,0.12978012084960938,1.627415771484375,9.569599914550782
5256,-0.8747808837890625,0.9737251281738282,9.204658813476563
5328,-1.3102253723144532,0.670455780029297,9.300609283447265
5389,-1.2543914794921875,-0.8135581970214845,9.784702606201172
5456,-0.6358776855468751,-1.6410374450683594,9.729766845703125
5525,0.5483097839355469,-1.4013858032226563,9.682165832519532
5589,0.7288343811035156,-1.57831787109375,9.597591705322266
5656,1.0663824462890625,-0.9006770324707032,9.748028869628907
5727,0.5535488891601563,-0.7026388549804687,9.756710815429688
5789,1.099164276123047,-0.3968247985839844,9.674082641601563
5856,1.2745994567871095,-0.7797285461425781,9.627379760742189
5923,1.4003379821777344,-0.36718643188476563,9.368118896484376
5989,1.6060102844238282,0.5902226257324219,9.562414855957032
6056,1.8729052734375,0.17693206787109375,9.858648834228516
6123,1.7500108337402345,1.481169891357422,9.793983306884765
6189,1.9561322021484375,2.25850341796875,9.435628509521484
6256,-0.24638763427734375,3.732188873291016,9.626631317138672
6328,-0.46104125976562504,2.381547546386719,9.723928985595704
6389,-0.1490899658203125,2.002086639404297,7.564818878173829
6456,-0.7849676513671875,2.5938061523437503,9.162596282958985
6525,-0.8840615844726563,0.9415420532226563,9.82526824951172
6589,-1.8721568298339846,0.2652484130859375,9.326804809570312
